,Tm,Lg,Fld%,Rdrs,Season,RAA,WAA,RAR,WAR,Salary,Acquired,BA,OBP,SLG,OPS,OPS+,Bat,Pos_C,Pos_1B,Pos_2B,Pos_3B,Pos_SS,Pos_OF,Num_Pos,R/AB,2B/AB,3B/AB,HR/AB,RBI/AB,BB/PA,SB - CS,BB - SO,E/Def-Inn,DP/Def-Inn,cluster
19,TBR,AL,0.977,-1,2010,5,0.6,25,2.5,4000000.0,Traded,0.254,0.324,0.35,0.675,89.0,R,0,0,0,0,1,0,1,0.1517094017094017,0.057692307692307696,0.00641025641025641,0.008547008547008548,0.10042735042735043,0.08458646616541353,5,-38,0.009963768115942028,0.05253623188405797,3
20,OAK,AL,0.993,18,2010,28,3.1,53,5.5,410000.0,Traded,0.273,0.393,0.405,0.798,120.0,L,0,1,0,0,0,0,1,0.1420863309352518,0.05935251798561151,0.008992805755395683,0.017985611510791366,0.10251798561151079,0.16034985422740525,4,8,0.007500750075007501,0.09075907590759076,1
21,TOR,AL,0.98,-7,2010,43,4.5,68,7.0,2400000.0,Traded,0.26,0.378,0.617,0.995,164.0,R,0,1,0,1,0,1,3,0.19156414762741653,0.061511423550087874,0.005272407732864675,0.09490333919156414,0.2179261862917399,0.14641288433382138,7,-16,0.005013608365563672,0.008594757198109154,1
22,NYM,NL,0.993,6,2010,6,0.6,19,1.8,8625000.0,Free Agency,0.259,0.347,0.402,0.749,105.0,R,0,0,0,0,0,1,1,0.13793103448275862,0.05747126436781609,0.017241379310344827,0.017241379310344827,0.13505747126436782,0.10972568578553615,10,-47,0.0012192148256522798,0.0012192148256522798,3
23,CHW,AL,0.981,-7,2010,-12,-1.1,7,0.7,445000.0,Amateur Draft,0.252,0.317,0.378,0.695,87.0,R,0,0,1,0,0,0,1,0.13063063063063063,0.05630630630630631,0.0045045045045045045,0.02027027027027027,0.11036036036036036,0.07429718875502007,-2,-55,0.010800108001080012,0.0900009000090001,2
24,LAD,NL,0.97,-2,2010,-8,-0.9,-3,-0.4,825000.0,Free Agency,0.216,0.295,0.327,0.622,71.0,R,0,1,1,1,0,0,3,0.14814814814814814,0.06172839506172839,0.006172839506172839,0.012345679012345678,0.11728395061728394,0.0972972972972973,0,-17,0.016886187098953055,0.060790273556231,2
25,NYM,NL,1.0,-10,2010,-1,-0.1,8,0.7,19401569.0,Free Agency,0.255,0.341,0.427,0.768,109.0,S,0,0,0,0,0,1,1,0.09545454545454546,0.05,0.013636363636363636,0.031818181818181815,0.12272727272727273,0.11764705882352941,2,-9,0.0,0.001933488012374323,3
26,BOS,AL,0.957,19,2010,51,5.4,75,7.8,9000000.0,Free Agency,0.321,0.365,0.553,0.919,141.0,R,0,0,0,1,0,0,1,0.14261460101867574,0.0831918505942275,0.003395585738539898,0.04753820033955857,0.1731748726655348,0.062402496099843996,1,-42,0.014155863507673968,0.023096408880941735,1
27,MULTIPLE,MLB,0.998,1,2010,-1,-0.1,15,1.4,14500000.0,Amateur Draft,0.248,0.368,0.413,0.781,112.0,S,0,1,0,0,0,0,1,0.1188118811881188,0.05693069306930693,0.0024752475247524753,0.034653465346534656,0.14356435643564355,0.1600831600831601,1,-8,0.0025028156676260792,0.08509573269928669,3
28,KCR,AL,0.974,-27,2010,-31,-3.1,-9,-0.9,3300000.0,Traded,0.259,0.288,0.405,0.692,88.0,R,0,0,0,0,1,0,1,0.1079136690647482,0.052158273381294966,0.0035971223021582736,0.02877697841726619,0.14028776978417265,0.0391156462585034,-1,-41,0.013521634615384614,0.06310096153846154,2
